"Zip
Code",State,County,Lat,"Place
Name",Long
501,NY,Suffolk,40.8154,Holtsville,-73.0451
544,NY,Suffolk,40.8154,Holtsville,-73.0451
1001,MA,Hampden,42.0702,Agawam,-72.6227
1002,MA,Hampshire,42.3671,Amherst,-72.4646
1003,MA,Hampshire,42.3919,Amherst,-72.5248
1004,MA,Hampshire,42.3845,Amherst,-72.5132
1005,MA,Worcester,42.4097,Barre,-72.1084
1007,MA,Hampshire,42.2751,Belchertown,-72.411
1008,MA,Hampden,42.1829,Blandford,-72.9361
1009,MA,Hampden,42.2061,Bondsville,-72.3405
1010,MA,Hampden,42.1165,Brimfield,-72.1885
1011,MA,Hampden,42.2794,Chester,-72.9888
1012,MA,Hampshire,42.3923,Chesterfield,-72.8256
1013,MA,Hampden,42.1487,Chicopee,-72.6079
1014,MA,Hampden,42.1707,Chicopee,-72.6048
1020,MA,Hampden,42.1764,Chicopee,-72.5761
1021,MA,Hampden,42.1707,Chicopee,-72.6048
1022,MA,Hampden,42.1934,Chicopee,-72.5544
1026,MA,Hampshire,42.4633,Cummington,-72.9202
1027,MA,Hampshire,42.2668,Easthampton,-72.669
1028,MA,Hampden,42.0672,East Longmeadow,-72.5056
1029,MA,Berkshire,42.1909,East Otis,-73.0517
1030,MA,Hampden,42.0718,Feeding Hills,-72.6751
1031,MA,Worcester,42.3322,Gilbertville,-72.1986
1032,MA,Hampshire,42.4404,Goshen,-72.7995
1033,MA,Hampshire,42.2557,Granby,-72.52
1034,MA,Hampden,42.1127,Granville,-72.952
1035,MA,Hampshire,42.3606,Hadley,-72.5715
1036,MA,Hampden,42.0648,Hampden,-72.4318
1037,MA,Worcester,42.3479,Hardwick,-72.2253
1038,MA,Hampshire,42.3844,Hatfield,-72.6167
1039,MA,Hampshire,42.3818,Haydenville,-72.7032
1040,MA,Hampden,42.202,Holyoke,-72.6262
1041,MA,Hampden,42.2043,Holyoke,-72.6162
1050,MA,Hampshire,42.2653,Huntington,-72.8733
1053,MA,Hampshire,42.3543,Leeds,-72.7034
1054,MA,Franklin,42.4682,Leverett,-72.4993
1056,MA,Hampden,42.1728,Ludlow,-72.471
1057,MA,Hampden,42.101,Monson,-72.3196
1059,MA,Hampshire,42.4104,North Amherst,-72.5309
1060,MA,Hampshire,42.3223,Northampton,-72.6313
1061,MA,Hampshire,42.3696,Northampton,-72.636
1062,MA,Hampshire,42.3219,Florence,-72.6928
1063,MA,Hampshire,42.3179,Northampton,-72.6402
1066,MA,Hampshire,42.4067,North Hatfield,-72.6339
1068,MA,Worcester,42.348,Oakham,-72.0513
1069,MA,Hampden,42.1762,Palmer,-72.3288
1070,MA,Hampshire,42.5144,Plainfield,-72.9183
1071,MA,Hampden,42.1471,Russell,-72.8403
1072,MA,Franklin,42.482,Shutesbury,-72.4213
1073,MA,Hampshire,42.2247,Southampton,-72.7194
1074,MA,Worcester,42.3854,South Barre,-72.0954
1075,MA,Hampshire,42.2375,South Hadley,-72.5811
1077,MA,Hampden,42.0511,Southwick,-72.7706
1079,MA,Hampden,42.1929,Thorndike,-72.3296
1080,MA,Hampden,42.1819,Three Rivers,-72.3624
1081,MA,Hampden,42.0627,Wales,-72.2046
1082,MA,Hampshire,42.2618,Ware,-72.2583
1083,MA,Worcester,42.204,Warren,-72.1994
1084,MA,Hampshire,42.3903,West Chesterfield,-72.8709
1085,MA,Hampden,42.1251,Westfield,-72.7495
1086,MA,Hampden,42.1734,Westfield,-72.848
1088,MA,Hampshire,42.3906,West Hatfield,-72.6469
1089,MA,Hampden,42.1151,West Springfield,-72.6411
1090,MA,Hampden,42.1707,West Springfield,-72.6048
1092,MA,Worcester,42.2029,West Warren,-72.229
1093,MA,Franklin,42.4427,Whately,-72.6525
1094,MA,Worcester,42.3582,Wheelwright,-72.1408
1095,MA,Hampden,42.1245,Wilbraham,-72.4464
1096,MA,Hampshire,42.4085,Williamsburg,-72.778
1097,MA,Hampden,42.164,Woronoco,-72.8295
1098,MA,Hampshire,42.3843,Worthington,-72.9314
1101,MA,Hampden,42.1015,Springfield,-72.5898
1102,MA,Hampden,42.1707,Springfield,-72.6048
1103,MA,Hampden,42.1029,Springfield,-72.5887
1104,MA,Hampden,42.1288,Springfield,-72.5778
1105,MA,Hampden,42.0999,Springfield,-72.5783
1106,MA,Hampden,42.0507,Longmeadow,-72.5676
1107,MA,Hampden,42.1179,Springfield,-72.6065
1108,MA,Hampden,42.0853,Springfield,-72.5584
1109,MA,Hampden,42.1145,Springfield,-72.5543
1111,MA,Hampden,42.1707,Springfield,-72.6048
1115,MA,Hampden,42.1029,Springfield,-72.5916
1116,MA,Hampden,42.1707,Longmeadow,-72.6048
1118,MA,Hampden,42.0929,Springfield,-72.5274
1119,MA,Hampden,42.1247,Springfield,-72.5121
1128,MA,Hampden,42.0944,Springfield,-72.4889
1129,MA,Hampden,42.1223,Springfield,-72.4876
1138,MA,Hampden,42.1707,Springfield,-72.6048
1139,MA,Hampden,42.1707,Springfield,-72.6048
1144,MA,Hampden,42.1018,Springfield,-72.5915
1151,MA,Hampden,42.1532,Indian Orchard,-72.505
1152,MA,Hampden,42.1707,Springfield,-72.6048
1199,MA,Hampden,42.1199,Springfield,-72.605
1201,MA,Berkshire,42.4531,Pittsfield,-73.2471
1202,MA,Berkshire,42.3929,Pittsfield,-73.2285
1203,MA,Berkshire,42.3929,Pittsfield,-73.2285
1220,MA,Berkshire,42.6223,Adams,-73.1172
1222,MA,Berkshire,42.0596,Ashley Falls,-73.3202
